Population,hubei_distance,density
0.035644989802123966,0.3536158012105767,0.02174768488155513
0.6746577609353086,0.0,0.07919934940580813
0.33539738619956394,0.2921312519910799,0.05191636716598022
0.24618458776172136,0.5657852819369226,0.03906188514913823
0.6120432158267726,0.03058298821280664,0.11199139536713974
0.7428490755718464,0.18923223956674098,0.09257850415803143
0.21797391164047214,0.9436126154826378,0.0028857000445971824
0.2804188369043137,0.22841669321439947,0.09756289514415382
0.9537992776676858,0.0662631411277477,0.1445211049607807
0.5502147139009668,0.15896782414781777,0.12012382276554998
0.22665451747291254,0.3673144313475629,0.004695820981662687
0.7955739563208215,0.08059891685250081,0.1941026784543141
0.36181671127806486,0.1439949028352979,0.047981321650620426
0.4169907371016519,0.4670277158330678,0.07578897662582963
0.06087801023510965,0.39949028352978655,0.05821243999055589
0.2152496514519045,0.1742593182542211,0.9999999999999999
0.18963808917039346,0.2580439630455559,0.3464519006269839
0.4431783862947166,0.023255813953488386,0.0642461764474409
1.0,0.17776361898693852,0.15134185052073768
0.34805164717417475,0.20261229690984392,0.055064403578268056
0.12615165668943434,0.2631411277476904,0.34206038983184234
0.356982545704274,0.64606562599554,0.020698339410792518
0.3696316353421563,0.17935648295635556,0.07421495841968571
0.0,0.9999999999999999,0.0
0.23669828766698248,0.34565148136349155,0.014402266586216846
0.8237784268379964,0.34851863650844217,0.04457094887064193
0.4703692748131079,0.2720611659764256,0.049293003489073686
0.4616297157419627,0.4692577253902517,0.028043757706130802
